Id,ORIG_FID,ORIG_LEN,ORIG_SEQ,Id_1,CHM04,CHM05
0,0,2.000000000000000,1,0,2.536003112790000,2.486503601070000
0,0,4.000000000000000,2,0,0.847404479980000,0.244598388672000
0,0,6.000000000000000,3,0,0.361099243164000,0.199996948242000
0,0,8.000000000000000,4,0,0.498298645020000,0.371994018555000
0,0,10.000000000000000,5,0,0.116600036621000,0.153106689453000
0,0,12.000000000000000,6,0,0.652900695801000,0.252403259277000
0,0,14.000000000000000,7,0,0.578002929688000,0.315994262695000
0,0,16.000000000000000,8,0,0.836204528809000,0.264495849609000
0,0,18.000000000000000,9,0,0.215095520020000,0.239303588867000
0,0,20.000000000000000,10,0,0.435005187988000,0.459396362305000
0,0,22.000000000000000,11,0,1.104202270510000,0.325401306152000
0,0,24.000000000000000,12,0,0.414596557617000,0.409400939941000
0,0,26.000000000000000,13,0,0.719902038574000,0.140701293945000
0,0,28.000000000000000,14,0,0.898696899414000,0.191307067871000
0,0,30.000000000000000,15,0,0.250801086426000,0.183105468750000
0,0,32.000000000000000,16,0,0.361206054688000,0.365303039551000
0,0,34.000000000000000,17,0,0.097496032714800,0.374702453613000
0,0,36.000000000000000,18,0,0.390296936035000,0.436698913574000
0,0,38.000000000000000,19,0,0.337799072266000,0.310401916504000
0,0,40.000000000000000,20,0,0.328193664551000,0.309394836426000
0,0,42.000000000000000,21,0,0.916099548340000,0.273796081543000
0,0,44.000000000000000,22,0,0.693397521973000,0.244697570801000
0,0,46.000000000000000,23,0,0.915802001953000,0.551597595215000
0,0,48.000000000000000,24,0,0.298995971680000,0.239700317383000
0,0,50.000000000000000,25,0,0.580596923828000,0.839401245117000
0,0,52.000000000000000,26,0,0.960906982422000,0.279602050781000
0,0,54.000000000000000,27,0,1.091400146480000,0.288597106934000
0,0,56.000000000000000,28,0,1.026000976560000,0.295501708984000
0,0,58.000000000000000,29,0,0.353195190430000,0.669799804688000
0,0,60.000000000000000,30,0,1.411506652830000,1.132904052730000
0,0,62.000000000000000,31,0,0.390197753906000,0.608200073242000
0,0,64.000000000000000,32,0,0.728996276855000,0.285102844238000
0,0,66.000000000000000,33,0,0.377395629883000,0.380897521973000
0,0,68.000000000000000,34,0,1.170700073240000,0.207000732422000
